Curso,Idade,Ano_Ingresso,Sexo,Cor/raça,Renda_Familiar,Recebe_Auxilio,Tipo_Auxilio
Ciência da Computação,,,M,Pardo,3 a 6,N,
Ciência da Computação,,,F,Pardo,3 a 6,N, Pronto Jaudir
Ciência da Computação,,,M,Branco,mais de 9,N,
Ciência da Computação,,,M,Pardo,1,S,
Ciência da Computação,,,M,Branco,1 a 3,S,
Ciência da Computação,,,F,Pardo,1 a 3,S,
Ciência da Computação,,,F,Pardo,mais de 9,N,
Ciência da Computação,,,M,Preto,3 a 6,S,
Ciência da Computação,,,M,Pardo,6 a 9,N,
Ciência da Computação,,,M,Branco,3 a 6,N,
Ciência da Computação,,,M,Pardo,1 a 3,S,
Ciência da Computação,,,F,Pardo,1 a 3,S,
Ciência da Computação,,,F,Branco,mais de 9,S,
Ciência da Computação,,,M,Pardo,3 a 6,S,
Ciência da Computação,,,M,Branco,3 a 6,N,
Ciência da Computação,,,F,Pardo,3 a 6,S,
Ciência da Computação,,,M,Pardo,1 a 3,S,
Ciência da Computação,,,M,Branco,1 a 3,S,
Ciência da Computação,,,F,Branco,1 a 3,S,
Ciência da Computação,,,F,Pardo,3 a 6,S,
Ciência da Computação,,,M,Pardo,3 a 6,N,
Ciência da Computação,,,F,Pardo,1,S,
Ciência da Computação,,,M,Pardo,1,S,
Ciência da Computação,,,M,Branco,3 a 6,N,
Ciência da Computação,,,M,Branco,3 a 6,S,
Ciência da Computação,,,M,Pardo,mais de 9,N,
Ciência da Computação,,,F,Preto,1 a 3,N,
Ciência da Computação,,,M,Branco,1 a 3,N,
Ciência da Computação,,,F,Pardo,1 a 3,S,
Ciência da Computação,,,M,Preto,1 a 3,S,
Ciência da Computação,,,F,Pardo,1 a 3,N,
Ciência da Computação,,,M,Pardo,3 a 6,N,
Ciência da Computação,,,F,Preto,1 a 3,S,
Ciência da Computação,,,M,Branco,1 a 3,N,
Técnico em Eletrotécnica,,,M,Preto,1 a 3,S,
Técnico em Eletrotécnica,,,M,Pardo,1 a 3,N,
Técnico em Eletrotécnica,,,M,Pardo,1,N,
Técnico em Eletrotécnica,,,M,Pardo,1 a 3,N,
Técnico em Eletrotécnica,,,M,Preto,1 a 3,N,
Técnico em Eletrotécnica,,,M,Pardo,3 a 6,N,
Técnico em Eletrotécnica,,,M,Branco,1 a 3,N,
Técnico em Eletrotécnica,,,M,Pardo,1 a 3,N,
Técnico em Eletrotécnica,,,M,Pardo,1 a 3,S,
Técnico em Eletrotécnica,,,M,Preto,1 a 3,N,
Técnico em Eletrotécnica,,,M,Branco,1 a 3,S,
Técnico em Eletrotécnica,,,M,Pardo,1 a 3,S,
Técnico em Eletrotécnica,,,F,Branco,1,N,
Técnico em Eletrotécnica,,,M,Branco,1 a 3,N,
Técnico em Eletrotécnica,,,M,Preto,1 a 3,N,
Técnico em Segurança do Trabalho,,,F,Pardo,1 a 3,N,
Técnico em Segurança do Trabalho,,,F,Pardo,1,S,
Técnico em Segurança do Trabalho,,,F,Branco,1,S,
Técnico em Segurança do Trabalho,,,M,Pardo,1,N,
Técnico em Segurança do Trabalho,,,F,Pardo,1,N,
Técnico em Segurança do Trabalho,,,F,Pardo,1,S,
Técnico em Segurança do Trabalho,,,F,Branco,1 a 3,S,
Técnico em Segurança do Trabalho,,,F,Pardo,1,N,
Técnico em Segurança do Trabalho,,,M,Pardo,1 a 3,S,
Técnico em Segurança do Trabalho,,,M,Branco,1 a 3,S,
Técnico em Segurança do Trabalho,,,M,Branco,1 a 3,S,
Técnico em Segurança do Trabalho,,,F,Branco,1,S,
